,mer_id,loc_id,mer_loc_records,popularity,openning_date,last_purchase_date,average_purchase_interval
1,210,410,189,0.03528094082508867,20150701,20151130,0.8042328042328042
2,5231,337,6338,0.25364174803905876,20150701,20151130,0.023982328810350267
3,625,130,158,0.040795249160857215,20150701,20151130,0.9620253164556962
4,216,407,182,0.34535104364326374,20150701,20151130,0.8351648351648352
5,5231,197,4669,0.24311377245508983,20150702,20151130,0.03234097237095738
6,5231,254,2503,0.17774463854566114,20150702,20151130,0.0603276068717539
1,210,410,189,0.03528094082508867,20150701,20151130,0.8042328042328042
2,5231,337,6338,0.25364174803905876,20150701,20151130,0.023982328810350267
3,625,130,158,0.040795249160857215,20150701,20151130,0.9620253164556962
4,216,407,182,0.34535104364326374,20150701,20151130,0.8351648351648352
5,5231,197,4669,0.24311377245508983,20150702,20151130,0.03234097237095738
6,5231,254,2503,0.17774463854566114,20150702,20151130,0.0603276068717539
1,210,410,189,0.03528094082508867,20150701,20151130,0.8042328042328042
2,5231,337,6338,0.25364174803905876,20150701,20151130,0.023982328810350267
3,625,130,158,0.040795249160857215,20150701,20151130,0.9620253164556962
4,216,407,182,0.34535104364326374,20150701,20151130,0.8351648351648352
5,5231,197,4669,0.24311377245508983,20150702,20151130,0.03234097237095738
6,5231,254,2503,0.17774463854566114,20150702,20151130,0.0603276068717539
7,5231,461,6950,0.44214008524715315,20150702,20151130,0.02172661870503597
8,5231,371,9641,0.8498016747465844,20150702,20151130,0.01566227569754175
9,2641,441,2459,0.0996353322528363,20150702,20151130,0.061407076047173645
10,5231,17,1414,0.13112017804154302,20150702,20151130,0.10678925035360678
11,5231,69,2608,0.28728794888742015,20150702,20151130,0.05789877300613497
12,2156,348,1480,0.06003569690085997,20150702,20151130,0.10202702702702703
13,5231,348,2834,0.11496024663313321,20150702,20151130,0.05328158080451659
14,5231,308,742,0.08395564607377234,20150702,20151130,0.20350404312668463
15,5231,265,1039,0.1711414923406358,20150702,20151130,0.1453320500481232
16,5231,63,1052,0.13681883209780205,20150702,20151130,0.1435361216730038
17,5231,60,539,0.051046500615588596,20150702,20151130,0.28014842300556586
18,5231,246,3410,0.7581147176522899,20150702,20151130,0.04428152492668622
19,5231,91,792,0.029706312591425678,20150702,20151130,0.19065656565656566
20,5231,112,1607,0.19424634352713646,20150702,20151130,0.0939639079029247
21,5231,19,472,0.630173564753004,20150702,20151130,0.3199152542372881
22,2641,52,1724,0.1345508467962226,20150702,20151130,0.08758700696055685
23,3090,84,565,0.022207373634148257,20150702,20151130,0.2672566371681416
24,5231,183,773,0.45443856554967665,20150702,20151130,0.19534282018111254
25,5231,163,1482,0.6410034602076125,20150702,20151130,0.101889338731444
26,4565,461,524,0.03333545390928176,20150702,20151130,0.2881679389312977
27,5231,172,1527,0.038626935141151474,20150702,20151130,0.09888670595939751
28,4565,116,401,0.5888399412628488,20150702,20151130,0.3765586034912718
29,2142,114,490,0.0760515287909359,20150702,20151130,0.3081632653061224
30,4565,188,236,0.01331678140164767,20150702,20151130,0.6398305084745762
31,7269,429,57,0.04408352668213457,20150702,20151130,2.6491228070175437
32,8960,461,98,0.006234493288377123,20150702,20151130,1.5408163265306123
33,5231,490,520,0.1469341621927098,20150702,20151130,0.2903846153846154
34,4565,451,426,0.7620751341681574,20150702,20151130,0.3544600938967136
35,4174,360,4,0.000299356383774884,20150702,20150708,1.5
36,5231,42,406,1.0,20150702,20151130,0.37192118226600984
37,5609,106,29,0.039889958734525444,20150702,20151130,5.206896551724138
38,4565,132,85,0.016578896040569533,20150702,20151130,1.776470588235294
39,5231,27,546,0.9820143884892086,20150702,20151130,0.2765567765567766
40,625,337,225,0.009004322074595806,20150702,20151130,0.6711111111111111
41,30,78,490,0.04736129905277402,20150702,20151130,0.3081632653061224
42,5231,326,600,0.42735042735042733,20150702,20151130,0.25166666666666665
43,4269,499,224,1.0,20150702,20151130,0.6741071428571429
44,5231,57,205,0.029378045285182,20150702,20151129,0.7317073170731707
45,4565,182,64,0.038577456298975285,20150702,20151129,2.34375
46,8248,346,351,0.03347320236505817,20150702,20151130,0.4301994301994302
47,7661,355,156,0.030344290993970045,20150703,20151128,0.9487179487179487
